208,346
488,776
846,304
332,502
803,372
1 477,61
48,0014
70,9574
95,1306
101,446
235,916
431,826
70,8241
173,168
314,511
60,7036
129,449
240,455
184,429
430,611
789,857
122,822
291,699
532,285
106,662
236,494
425,327
25,5303
37,686
49,81
17,3661
25,6409
36,0367
15,9068
20,9141
30,1845
492,33
1 154,71
2 103,55
833,174
2 007,63
3 701,68
118,378
175,099
233,455
253,931
593,124
1 078,37
183,608
401,357
731,063
146,251
325,211
620,269
461,925
1 066,1
1 951,89
301,847
754,499
1 409,07
255,187
610,069
1 171,68
63,2972
92,7491
123,521
47,6212
62,9366
98,3694
39,3603
65,1259
77,4802
788,471
1 846,08
3 372,01
1 331,09
3 201,77
5 912
187,463
279,128
373,194
413,755
956,42
1 738,39
303,538
661,639
1 232,88
232,618
542,94
973,075
723,996
1 734,44
3 143,55
500,405
1 173,31
2 196,6
429,511
986,105
1 796,85
100,044
156,093
198,512
70,9648
99,7509
139,038
54,1709
82,5479
104,795
1 765,76
4 153,87
7 582,01
2 987,9
7 279,88
13 334,1
424,115
632,414
838,301
929,071
2 150,62
3 882,34
643,959
1 479,78
2 765,06
526,099
1 162,69
2 172,07
1 610,98
3 857,65
7 140,91
1 117,86
2 753
4 961,7
910,353
2 173,06
3 979,49
226,249
338,853
455,714
162,179
249,803
309,271
133,638
179,571
245,828
